Time,Protein_concentration
0.000000,0.000000
0.100000,0.100000
0.200000,0.195000
0.300000,0.285250
0.400000,0.370988
0.500000,0.452438
0.600000,0.529816
0.700000,0.603325
0.800000,0.673159
0.900000,0.739501
1.000000,0.802526
1.100000,0.862400
1.200000,0.919280
1.300000,0.973316
1.400000,1.024650
1.500000,1.073418
1.600000,1.119747
1.700000,1.163759
1.800000,1.205571
1.900000,1.245293
2.000000,1.283028
2.100000,1.318877
2.200000,1.352933
2.300000,1.385286
2.400000,1.416022
2.500000,1.445221
2.600000,1.472960
2.700000,1.499312
2.800000,1.524346
2.900000,1.548129
3.000000,1.570722
3.100000,1.592186
3.200000,1.612577
3.300000,1.631948
3.400000,1.650351
3.500000,1.667833
3.600000,1.684442
3.700000,1.700219
3.800000,1.715209
3.900000,1.729448
4.000000,1.742976
4.100000,1.755827
4.200000,1.768036
4.300000,1.779634
4.400000,1.790652
4.500000,1.801119
4.600000,1.811064
4.700000,1.820510
4.800000,1.829485
4.900000,1.838011
5.000000,1.846110
5.100000,1.853805
5.200000,1.861114
5.300000,1.868059
5.400000,1.874656
5.500000,1.880923
5.600000,1.886877
5.700000,1.892533
5.800000,1.897906
5.900000,1.903011
6.000000,1.907860
6.100000,1.912467
6.200000,1.916844
6.300000,1.921002
6.400000,1.924952
6.500000,1.928704
6.600000,1.932269
6.700000,1.935655
6.800000,1.938873
6.900000,1.941929
7.000000,1.944833
7.100000,1.947591
7.200000,1.950211
7.300000,1.952701
7.400000,1.955066
7.500000,1.957313
7.600000,1.959447
7.700000,1.961475
7.800000,1.963401
7.900000,1.965231
8.000000,1.966969
8.100000,1.968621
8.200000,1.970190
8.300000,1.971680
8.400000,1.973096
8.500000,1.974441
8.600000,1.975719
8.700000,1.976933
8.800000,1.978087
8.900000,1.979182
9.000000,1.980223
9.100000,1.981212
9.200000,1.982152
9.300000,1.983044
9.400000,1.983892
9.500000,1.984697
9.600000,1.985462
9.700000,1.986189
9.800000,1.986880
9.900000,1.987536
10.000000,1.988159
10.100000,1.988751
10.200000,1.989313
10.300000,1.989848
10.400000,1.990355
10.500000,1.990838
10.600000,1.991296
10.700000,1.991731
10.800000,1.992144
10.900000,1.992537
11.000000,1.992910
11.100000,1.993265
11.200000,1.993602
11.300000,1.993921
11.400000,1.994225
11.500000,1.994514
11.600000,1.994788
11.700000,1.995049
11.800000,1.995297
11.900000,1.995532
12.000000,1.995755
12.100000,1.995967
12.200000,1.996169
12.300000,1.996361
12.400000,1.996543
12.500000,1.996715
12.600000,1.996880
12.700000,1.997036
12.800000,1.997184
12.900000,1.997325
13.000000,1.997458
13.100000,1.997586
13.200000,1.997706
13.300000,1.997821
13.400000,1.997930
13.500000,1.998033
13.600000,1.998132
13.700000,1.998225
13.800000,1.998314
13.900000,1.998398
14.000000,1.998478
14.100000,1.998554
14.200000,1.998627
14.300000,1.998695
14.400000,1.998761
14.500000,1.998823
14.600000,1.998881
14.700000,1.998937
14.800000,1.998990
14.900000,1.999041
15.000000,1.999089
15.100000,1.999134
15.200000,1.999178
15.300000,1.999219
15.400000,1.999258
15.500000,1.999295
15.600000,1.999330
15.700000,1.999364
15.800000,1.999396
15.900000,1.999426
16.000000,1.999454
16.100000,1.999482
16.200000,1.999508
16.300000,1.999532
16.400000,1.999556
16.500000,1.999578
16.600000,1.999599
16.700000,1.999619
16.800000,1.999638
16.900000,1.999656
17.000000,1.999673
17.100000,1.999690
17.200000,1.999705
17.300000,1.999720
17.400000,1.999734
17.500000,1.999747
17.600000,1.999760
17.700000,1.999772
17.800000,1.999783
17.900000,1.999794
18.000000,1.999804
18.100000,1.999814
18.200000,1.999824
18.300000,1.999832
18.400000,1.999841
18.500000,1.999849
18.600000,1.999856
18.700000,1.999863
18.800000,1.999870
18.900000,1.999877
19.000000,1.999883
19.100000,1.999889
19.200000,1.999894
19.300000,1.999900
19.400000,1.999905
19.500000,1.999909
19.600000,1.999914
19.700000,1.999918
19.800000,1.999922
19.900000,1.999926
20.000000,1.999930
20.100000,1.999933
20.200000,1.999937
20.300000,1.999940
20.400000,1.999943
20.500000,1.999946
20.600000,1.999948
20.700000,1.999951
20.800000,1.999953
20.900000,1.999956
21.000000,1.999958
21.100000,1.999960
21.200000,1.999962
21.300000,1.999964
21.400000,1.999966
21.500000,1.999968
21.600000,1.999969
21.700000,1.999971
21.800000,1.999972
21.900000,1.999974
22.000000,1.999975
22.100000,1.999976
22.200000,1.999977
22.300000,1.999978
22.400000,1.999980
22.500000,1.999981
22.600000,1.999982
22.700000,1.999982
22.800000,1.999983
22.900000,1.999984
23.000000,1.999985
23.100000,1.999986
23.200000,1.999986
23.300000,1.999987
23.400000,1.999988
23.500000,1.999988
23.600000,1.999989
23.700000,1.999989
23.800000,1.999990
23.900000,1.999991
24.000000,1.999991
24.100000,1.999991
24.200000,1.999992
24.300000,1.999992
24.400000,1.999993
24.500000,1.999993
24.600000,1.999993
24.700000,1.999994
24.800000,1.999994
24.900000,1.999994
25.000000,1.999995
25.100000,1.999995
25.200000,1.999995
25.300000,1.999995
25.400000,1.999996
25.500000,1.999996
25.600000,1.999996
25.700000,1.999996
25.800000,1.999996
25.900000,1.999997
26.000000,1.999997
26.100000,1.999997
26.200000,1.999997
26.300000,1.999997
26.400000,1.999997
26.500000,1.999998
26.600000,1.999998
26.700000,1.999998
26.800000,1.999998
26.900000,1.999998
27.000000,1.999998
27.100000,1.999998
27.200000,1.999998
27.300000,1.999998
27.400000,1.999998
27.500000,1.999999
27.600000,1.999999
27.700000,1.999999
27.800000,1.999999
27.900000,1.999999
28.000000,1.999999
28.100000,1.999999
28.200000,1.999999
28.300000,1.999999
28.400000,1.999999
28.500000,1.999999
28.600000,1.999999
28.700000,1.999999
28.800000,1.999999
28.900000,1.999999
29.000000,1.999999
29.100000,1.999999
29.200000,1.999999
29.300000,1.999999
29.400000,1.999999
29.500000,1.999999
29.600000,1.999999
29.700000,2.000000
29.800000,2.000000
29.900000,2.000000
30.000000,2.000000
30.100000,2.000000
30.200000,2.000000
30.300000,2.000000
30.400000,2.000000
30.500000,2.000000
30.600000,2.000000
30.700000,2.000000
30.800000,2.000000
30.900000,2.000000
31.000000,2.000000
31.100000,2.000000
31.200000,2.000000
31.300000,2.000000
31.400000,2.000000
31.500000,2.000000
31.600000,2.000000
31.700000,2.000000
31.800000,2.000000
31.900000,2.000000
32.000000,2.000000
32.100000,2.000000
32.200000,2.000000
32.300000,2.000000
32.400000,2.000000
32.500000,2.000000
32.600000,2.000000
32.700000,2.000000
32.800000,2.000000
32.900000,2.000000
33.000000,2.000000
33.100000,2.000000
33.200000,2.000000
33.300000,2.000000
33.400000,2.000000
33.500000,2.000000
33.600000,2.000000
33.700000,2.000000
33.800000,2.000000
33.900000,2.000000
34.000000,2.000000
34.100000,2.000000
34.200000,2.000000
34.300000,2.000000
34.400000,2.000000
34.500000,2.000000
34.600000,2.000000
34.700000,2.000000
34.800000,2.000000
34.900000,2.000000
35.000000,2.000000
35.100000,2.000000
35.200000,2.000000
35.300000,2.000000
35.400000,2.000000
35.500000,2.000000
35.600000,2.000000
35.700000,2.000000
35.800000,2.000000
35.900000,2.000000
36.000000,2.000000
36.100000,2.000000
36.200000,2.000000
36.300000,2.000000
36.400000,2.000000
36.500000,2.000000
36.600000,2.000000
36.700000,2.000000
36.800000,2.000000
36.900000,2.000000
37.000000,2.000000
37.100000,2.000000
37.200000,2.000000
37.300000,2.000000
37.400000,2.000000
37.500000,2.000000
37.600000,2.000000
37.700000,2.000000
37.800000,2.000000
37.900000,2.000000
38.000000,2.000000
38.100000,2.000000
38.200000,2.000000
38.300000,2.000000
38.400000,2.000000
38.500000,2.000000
38.600000,2.000000
38.700000,2.000000
38.800000,2.000000
38.900000,2.000000
39.000000,2.000000
39.100000,2.000000
39.200000,2.000000
39.300000,2.000000
39.400000,2.000000
39.500000,2.000000
39.600000,2.000000
39.700000,2.000000
39.800000,2.000000
39.900000,2.000000
40.000000,2.000000
40.100000,2.000000
40.200000,2.000000
40.300000,2.000000
40.400000,2.000000
40.500000,2.000000
40.600000,2.000000
40.700000,2.000000
40.800000,2.000000
40.900000,2.000000
41.000000,2.000000
41.100000,2.000000
41.200000,2.000000
41.300000,2.000000
41.400000,2.000000
41.500000,2.000000
41.600000,2.000000
41.700000,2.000000
41.800000,2.000000
41.900000,2.000000
42.000000,2.000000
42.100000,2.000000
42.200000,2.000000
42.300000,2.000000
42.400000,2.000000
42.500000,2.000000
42.600000,2.000000
42.700000,2.000000
42.800000,2.000000
42.900000,2.000000
43.000000,2.000000
43.100000,2.000000
43.200000,2.000000
43.300000,2.000000
43.400000,2.000000
43.500000,2.000000
43.600000,2.000000
43.700000,2.000000
43.800000,2.000000
43.900000,2.000000
44.000000,2.000000
44.100000,2.000000
44.200000,2.000000
44.300000,2.000000
44.400000,2.000000
44.500000,2.000000
44.600000,2.000000
44.700000,2.000000
44.800000,2.000000
44.900000,2.000000
45.000000,2.000000
45.100000,2.000000
45.200000,2.000000
45.300000,2.000000
45.400000,2.000000
45.500000,2.000000
45.600000,2.000000
45.700000,2.000000
45.800000,2.000000
45.900000,2.000000
46.000000,2.000000
46.100000,2.000000
46.200000,2.000000
46.300000,2.000000
46.400000,2.000000
46.500000,2.000000
46.600000,2.000000
46.700000,2.000000
46.800000,2.000000
46.900000,2.000000
47.000000,2.000000
47.100000,2.000000
47.200000,2.000000
47.300000,2.000000
47.400000,2.000000
47.500000,2.000000
47.600000,2.000000
47.700000,2.000000
47.800000,2.000000
47.900000,2.000000
48.000000,2.000000
48.100000,2.000000
48.200000,2.000000
48.300000,2.000000
48.400000,2.000000
48.500000,2.000000
48.600000,2.000000
48.700000,2.000000
48.800000,2.000000
48.900000,2.000000
49.000000,2.000000
49.100000,2.000000
49.200000,2.000000
49.300000,2.000000
49.400000,2.000000
49.500000,2.000000
49.600000,2.000000
49.700000,2.000000
49.800000,2.000000
49.900000,2.000000
